summary,aspect,explain,answer,score,mean_score,gt_score
"['the 13 letters were expected to bring in anywhere from $300,000 to $600,000 . the current owner of the signage is yankee hall of famer reggie jackson . jackson purchased the letters for an undisclosed amount after the stadium saw its final game in 2008 .', 'the 13 letters were expected to bring in anywhere from $300,000 to $600,000 . the current owner of the signage is yankee hall of famer reggie jackson . jackson purchased the letters for an undisclosed amount after the stadium saw its final game in 2008 .', 'the 13 letters were expected to bring in anywhere from $300,000 to $600,000 . the current owner of the signage is yankee hall of famer reggie jackson . jackson purchased the letters for an undisclosed amount after the stadium saw its final game in 2008 .']","[""1. Glowing blue letters from Yankee Stadium failed to find a buyer at an auction at Sotheby's, with only a Sotheby's employee bidding $260,000."", ""2. Yankee Hall of Famer Reggie Jackson purchased the letters for an undisclosed amount after the stadium's final game in 2008."", '3. ESPN reports that Jackson bought the letters ""on a lark,"" and promised to visit the new owner if they were from the United States.']","[""The glowing blue letters from Yankee Stadium, which were estimated to sell for $300,000 to $600,000, failed to meet the expected price at an auction at Sotheby's. The highest bid was $260,000 by a Sotheby's employee."", ""Yankee Hall of Famer Reggie Jackson acquired the letters at an unknown price after the stadium's last game in 2008."", 'ESPN reports that Jackson bought the letters impulsively, as a whim, and jokingly promised to meet the new owner if they were from the United States.']","['Yes, the summary contains the context of this sentence.', 'Yes, the context of this sentence is present in the given summary.', 'Yes']","[4, 4, 4]",4.0,4.5
"[""the toddler 's mother was holding him and another child when he slipped and fell between 10 to 12ft and into the pit on saturday around 3pm . the child was rescued by his parents before firefighters and paramedics arrived on the scene . he suffered from minor bumps and bruises and was listed in stable condition at the hospital ."", ""the toddler 's mother was holding him and another child when he slipped and fell between 10 to 12ft and into the pit on saturday around 3pm . the child was rescued by his parents before firefighters and paramedics arrived on the scene . he suffered from minor bumps and bruises and was listed in stable condition at the hospital ."", ""the toddler 's mother was holding him and another child when he slipped and fell between 10 to 12ft and into the pit on saturday around 3pm . the child was rescued by his parents before firefighters and paramedics arrived on the scene . he suffered from minor bumps and bruises and was listed in stable condition at the hospital .""]","['1. A 2-year-old boy fell into a cheetah exhibit at Cleveland Metroparks Zoo after his parents dangled him over the edge.', '2. The boy was rescued by his parents before firefighters and paramedics arrived, suffering from minor bumps and bruises.', '3. The cheetahs did not attack the child, and Cleveland Metroparks Zoo plans to press child endangerment charges against the family.']","[""A 2-year-old boy fell approximately 10-12 feet into a pit at Cleveland Metroparks Zoo, resulting in minor injuries, and was rescued by his parents when the facility's firefighters and paramedics arrived on scene."", 'The toddler fell into a pit and was caught by his parents who saved him before emergency services arrived, causing minor injuries to the child.', 'Cleveland Metroparks Zoo will press child endangerment charges against the family, as the cheetahs did not attack the child despite the dangerous situation.']","['No, the summary does not contain the context of that sentence.', 'Yes', 'No']","[1, 4, 1]",2.0,4.83333333335
"[""queensland government believes mr gordon would quit after he was recently accused of domestic violence . federal mp bob katter said he 's been personally subjected to racist attitudes from both major parties . mr gordon was forced to quit the queensland labor party last week ."", ""queensland government believes mr gordon would quit after he was recently accused of domestic violence . federal mp bob katter said he 's been personally subjected to racist attitudes from both major parties . mr gordon was forced to quit the queensland labor party last week ."", ""queensland government believes mr gordon would quit after he was recently accused of domestic violence . federal mp bob katter said he 's been personally subjected to racist attitudes from both major parties . mr gordon was forced to quit the queensland labor party last week .""]","['1. Bob Katter accuses Queensland Government of assuming Billy Gordon would quit, citing his criminal history and domestic violence claims.', '2. Katter criticized the use of the term ""black puppet,"" but defended it as a result of personal experiences and wanting to call out racial overtones.', '3. Gordon remains an independent in the Queensland parliament, causing chaos for the government.']","['Bob Katter criticizes the Queensland Government, stating that they incorrectly assumed Billy Gordon would quit, pointing out his criminal past and domestic violence allegations.', 'Mr. Katter defended using the term ""black puppet,"" reasoning it as a result of personal experiences and exposing racial undertones.', 'Gordon is still an independent parliamentarian, and his absence from the Labor Party causes difficulties for the government.']","['The summary contains the context of the given aspect.', 'No, the summary does not contain the context of the given sentence.', 'Yes, the summary contains the context of the given sentence.']","[4, 1, 4]",3.0,4.166666666675
"[""holidaymaker david meadwell recorded the unscheduled manouevre outside buckingham palace . he lost his footing and slid sideways , knocking bearskin on the side of the box . queen 's guard was left red-faced after he slipped on manhole cover . the entire incident was caught on a manhole cover . the embarrassed soldier quickly scrambled to his feet as his colleagues marched past ."", ""holidaymaker david meadwell recorded the unscheduled manouevre outside buckingham palace . he lost his footing and slid sideways , knocking bearskin on the side of the box . queen 's guard was left red-faced after he slipped on manhole cover . the entire incident was caught on a manhole cover . the embarrassed soldier quickly scrambled to his feet as his colleagues marched past ."", ""holidaymaker david meadwell recorded the unscheduled manouevre outside buckingham palace . he lost his footing and slid sideways , knocking bearskin on the side of the box . queen 's guard was left red-faced after he slipped on manhole cover . the entire incident was caught on a manhole cover . the embarrassed soldier quickly scrambled to his feet as his colleagues marched past .""]","['1. A Buckingham Palace guard slipped on a manhole cover during the Changing of the Guard and lost his footing, dropping his rifle.', '2. The incident was caught on camera, and the embarrassed guard quickly regained his balance as his colleagues marched past.', ""3. The Queen's Guard is a full-time operational soldier under the command of the Captain of The Queen's Guard.""]","[""A Buckingham Palace guard's slip on a manhole cover led to a comical incident during the Changing of the Guard, where he dropped his rifle, stepped sideways into the bearskin on the side of the box, and left the Queen's Guard's team red-faced."", ""The incident involved a man sliding sideways on his way to Buckingham Palace, knocking onto the Bearskin, while the Queen's Guard soldier lost his balance on a manhole cover. This mishap was captured by a camera. The embarrassed guard managed to swiftly stand upright while other guards passed by."", ""The Queen's Guard is a full-time operational soldier who serves under the command of the Captain of The Queen's Guard. This means they have a specific duty to protect and represent Queen Elizabeth II.""]","['Yes', 'Yes, the context of the sentence can be found in the summary.', ""No, the summary does not convey the context of the given aspect about The Queen's Guard being a full-time operational soldier under the command of the Captain of The Queen's Guard, with a specified duty to protect and represent Queen Elizabeth II. The emphasis in the given context is on a humorous incident involving a Queen's Guard slipping on a manhole cover during their ceremonial duty near Buckingham Palace, rather than on their role and responsibilities.""]","[4, 4, 1]",3.0,3.2500000000250004
"['dr adrian quarterman , of dundee university , is working on a laser which will convert sun beams into energy . the energy it then creates , using semi-conductors , can be shot back down to earth . if it works , it could mean solar power could even become viable in scotland , or be able to restore power instantly to disaster hit areas .', 'dr adrian quarterman , of dundee university , is working on a laser which will convert sun beams into energy . the energy it then creates , using semi-conductors , can be shot back down to earth . if it works , it could mean solar power could even become viable in scotland , or be able to restore power instantly to disaster hit areas .', 'dr adrian quarterman , of dundee university , is working on a laser which will convert sun beams into energy . the energy it then creates , using semi-conductors , can be shot back down to earth . if it works , it could mean solar power could even become viable in scotland , or be able to restore power instantly to disaster hit areas .']","['1. Scottish scientist Dr. Adrian Quarterman suggests space lasers could be used for heating homes in the future. ', ""2. Quarterman's laser converts sun beams into energy and can boost solar panels' efficiency. "", '3. Unlike movie lasers, the system is not powerful enough to be weaponized, and the issue of control remains.']","['Dr. Adrian Quarterman, a Scottish scientist, proposes that space lasers could potentially be utilized for home heating in the future.', ""Quarterman's laser can convert sun beams into energy and boost the efficiency of solar panels, opening up possible solutions for power generation in Scotland and fast restoration of power in disaster-hit areas."", 'Although the laser developed by Dr. Adrian Quarterman has the potential to create renewable energy by converting sunbeams and possibly revolutionizing solar power in Scotland, it cannot be weaponized like movie lasers due to its limited power. Additionally, the concept of control and regulating the system remains a significant concern.']","['No', 'No, the summary does not accurately capture the context, which is more detailed in the explanation.', 'As mentioned in the given context, the laser developed by Dr. Adrian Quarterman, aiming to generate sustainable energy, might not be able to be applied as a weapon due to its limited power. Additionally, regulating and controlling the system is still an essential consideration.']","[1, 2, 4]",2.3333333333333335,4.666666666675
"[""sir bradley wiggins will bid for cycling 's hour record on june 7 at london 's olympic velodrome . the four-time olympic champion and 2012 tour de france winner will attempt to add to his accomplishments by riding the furthest distance in 60 minutes at the lee valley velopark . wiggins finished his team sky career in the paris-roubaix 253.5km one-day race on sunday ."", ""sir bradley wiggins will bid for cycling 's hour record on june 7 at london 's olympic velodrome . the four-time olympic champion and 2012 tour de france winner will attempt to add to his accomplishments by riding the furthest distance in 60 minutes at the lee valley velopark . wiggins finished his team sky career in the paris-roubaix 253.5km one-day race on sunday ."", ""sir bradley wiggins will bid for cycling 's hour record on june 7 at london 's olympic velodrome . the four-time olympic champion and 2012 tour de france winner will attempt to add to his accomplishments by riding the furthest distance in 60 minutes at the lee valley velopark . wiggins finished his team sky career in the paris-roubaix 253.5km one-day race on sunday .""]","[""1. Sir Bradley Wiggins to attempt cycling's hour record on June 7 at London's Olympic Velodrome."", '2. Four-time Olympic champion and 2012 Tour de France winner aims to add to his accomplishments and motivate people to challenge themselves.', '3. Wiggins will compete for the record previously held by Australian rider Rohan Dennis, aiming to set a mark that could last for some time.']","[""Sir Bradley Wiggins will attempt to break the cycling's hour record at a renowned venue, London's Olympic Velodrome on June 7th. This event marks his final attempt at adding to his extensive list of accomplishments in cycling."", ""Sir Bradley Wiggins, an accomplished cyclist with four Olympic gold medals and a 2012 Tour de France victory, is attempting to break a cycling record at London's Olympic Velodrome on June 7th. Through this challenge, he aims to motivate people to push themselves and achieve new goals, showcasing his own dedication to continuous improvement."", ""Bradley Wiggins, a renowned British cyclist, plans to attempt the cycling hour record on June 7th at London's Olympic Velodrome. This challenge will test his endurance as he aims to break the record currently held by Australian rider Rohan Dennis. Wiggins seeks to set a new benchmark in distance achieved within an hour's time, leaving his mark on cycling history for years to come.""]","['Yes, the summary contains the context of the given sentence.', ""Yes, the summary contains the context of this sentence. The context describes Sir Bradley Wiggins' intention to break the cycling record and inspire others to challenge themselves."", 'Yes, the summary contains the context of the sentence.']","[4, 4, 4]",4.0,4.166666666675
"[""outspoken mp bob katter has risked being drawn into a race row after accusing the queensland government of believing embattled mp billy gordon was ' a little black puppet on a string ' . in a bizarre statement on his party 's website , mr katter said the government believes mr gordon would quit after he was recently accused of domestic violence - and later admitted to his criminal past . mr katter , federal mp for kennedy , is of lebanese descent . he said he 's been personally subjected to racist attitudes from both major parties in the past , and that he sympathised with mr gordon 's position ."", ""outspoken mp bob katter has risked being drawn into a race row after accusing the queensland government of believing embattled mp billy gordon was ' a little black puppet on a string ' . in a bizarre statement on his party 's website , mr katter said the government believes mr gordon would quit after he was recently accused of domestic violence - and later admitted to his criminal past . mr katter , federal mp for kennedy , is of lebanese descent . he said he 's been personally subjected to racist attitudes from both major parties in the past , and that he sympathised with mr gordon 's position ."", ""outspoken mp bob katter has risked being drawn into a race row after accusing the queensland government of believing embattled mp billy gordon was ' a little black puppet on a string ' . in a bizarre statement on his party 's website , mr katter said the government believes mr gordon would quit after he was recently accused of domestic violence - and later admitted to his criminal past . mr katter , federal mp for kennedy , is of lebanese descent . he said he 's been personally subjected to racist attitudes from both major parties in the past , and that he sympathised with mr gordon 's position .""]","['1. Bob Katter accuses Queensland Government of assuming Billy Gordon would quit.', '2. Katter believes racist attitudes from major parties.', '3. Katter defends his term ""black puppet"" as relating to his own experiences.']","['Bob Katter suggests that the Queensland Government assumes Billy Gordon would step down, despite recent claims of domestic violence and his criminal background.', 'Bob Katter, an outspoken MP, suggests that he has experienced racist attitudes from both major parties, which he believes may have negatively affected Billy Gordon.', 'Bob Katter defends the term ""black puppet"" as reflecting his personal experiences with racism.']","['No', 'Yes, the summary does contain the context of the given sentence.', 'No']","[1, 4, 1]",2.0,4.75
"[""maurice van ryn has pleaded guilty to 12 sex offences, including persistent sexual abuse of a child . one of his victims told sydney's district court on monday that she is scared for her future relationships . the young woman, who cannot be named, said when he abused her as a child she didn't know it was wrong . 'he has stolen my right to share my body with someone for the first time,' she said ."", ""maurice van ryn has pleaded guilty to 12 sex offences, including persistent sexual abuse of a child . one of his victims told sydney's district court on monday that she is scared for her future relationships . the young woman, who cannot be named, said when he abused her as a child she didn't know it was wrong . 'he has stolen my right to share my body with someone for the first time,' she said ."", ""maurice van ryn has pleaded guilty to 12 sex offences, including persistent sexual abuse of a child . one of his victims told sydney's district court on monday that she is scared for her future relationships . the young woman, who cannot be named, said when he abused her as a child she didn't know it was wrong . 'he has stolen my right to share my body with someone for the first time,' she said .""]","['1. A young woman who experienced abuse by Bega Cheese boss Maurice Van Ryn told a court about the severe impact it had on her life, keeping what Van Ryn did to her a secret for years.', '2. Van Ryn pleaded guilty to 12 sex offenses, including persistent sexual abuse of a child.', ""3. The young woman is scared for her future relationships and worries about the impact of Van Ryn's actions on her relationships with men.""]","[""A survivor of Maurice Van Ryn's abuse publicly addresses court, revealing how he destroyed her trust around sharing her body, leading to years of secrecy and struggles with relationships."", ""Maurice Van Ryn pleaded guilty to 12 sex offenses, including the severe charge of persistent sexual abuse of a child. This led his young victim, who can't be named, to feel scared for her future relationships and to have lost her right to share her body with someone for the first time."", ""The victim is concerned about the emotional impact of Van Ryn's offenses on her future romantic relationships with men.""]","['Yes', 'Yes, the summary contains the context of the sentence.', 'No, the context of the sentence is not in the summary.']","[4, 4, 1]",3.0,4.583333333325
"[""three vehicles collided on the brisbane valley highway , 2km south of fernvale , on wednesday afternoon . a 40-year-old man with chest and shoulder injuries and a five-year-old boy with chest pain were the first patients flown out by rescue helicopter . they 've been taken to the princess alexandra hospital in brisbane . shortly after , a 27-year-old woman with arm injuries and a six-year-old girl suffering from abdominal pain were also being flown out . the three car pileup happened at on the brisbane valley highway , near fernvale ."", ""three vehicles collided on the brisbane valley highway , 2km south of fernvale , on wednesday afternoon . a 40-year-old man with chest and shoulder injuries and a five-year-old boy with chest pain were the first patients flown out by rescue helicopter . they 've been taken to the princess alexandra hospital in brisbane . shortly after , a 27-year-old woman with arm injuries and a six-year-old girl suffering from abdominal pain were also being flown out . the three car pileup happened at on the brisbane valley highway , near fernvale ."", ""three vehicles collided on the brisbane valley highway , 2km south of fernvale , on wednesday afternoon . a 40-year-old man with chest and shoulder injuries and a five-year-old boy with chest pain were the first patients flown out by rescue helicopter . they 've been taken to the princess alexandra hospital in brisbane . shortly after , a 27-year-old woman with arm injuries and a six-year-old girl suffering from abdominal pain were also being flown out . the three car pileup happened at on the brisbane valley highway , near fernvale .""]","['1. Ten people, including four children, involved in Brisbane crash; ', '2. Multi-vehicle accident on Brisbane Valley Highway near Fernvale; ', '3. Ten patients injured, four flown to hospital by rescue helicopter.']","['The Brisbane crash in the summary involved three vehicles and 10 people, including four children, who suffered various injuries.', 'There was a multi-vehicle accident on Brisbane Valley Highway near Fernvale, resulting in injury and emergency evacuation for several individuals.', 'In the crash on Brisbane Valley Highway, 3 patients were taken to a hospital by a rescue helicopter, and a total of 10 people were injured.']","['Yes, the summary contains the context of the given sentence.', 'Yes, the summary does contain the context of the sentence, which explains the multi-vehicle accident and injuries resulting from it.', 'no']","[4, 4, 1]",3.0,4.166666666675
"[""the queen 's guard was left red-faced after he slipped on a manhole cover during the popular changing of the guard . he lost his footing and slid sideways , knocking his bearskin on the side of the box and dropping his rifle . the entire incident was caught on a tourist 's camera ."", ""the queen 's guard was left red-faced after he slipped on a manhole cover during the popular changing of the guard . he lost his footing and slid sideways , knocking his bearskin on the side of the box and dropping his rifle . the entire incident was caught on a tourist 's camera ."", ""the queen 's guard was left red-faced after he slipped on a manhole cover during the popular changing of the guard . he lost his footing and slid sideways , knocking his bearskin on the side of the box and dropping his rifle . the entire incident was caught on a tourist 's camera .""]","['1. Buckingham Palace guard slips and falls on manhole cover, embarrassing himself in front of tourists.', '2. Incident caught on camera during popular Changing of the Guard ceremony.', ""3. Soldier's slip may have been caused by metal protectors on his boots.""]","[""In a famous event like the changing of the guard at Buckingham Palace, a Queen's guard faces an awkward situation when he slips and falls on a manhole cover, subsequently losing his rifle and injuring his bearskin hat, all of which are captured on a tourist's camera."", ""In this aspect, it is mentioned that the incident occurred during a well-known Changing of the Guard ceremony, and a tourist's camera captured the entire event. This highlights the significant event in question and emphasizes its popularity, as many people attend and film such occasions."", ""The soldier's slip could have been caused by the metal protectors on his boots, as they might have caused him to lose his footing on the slippery manhole cover.""]","['Yes', ""No, the provided summary does not accurately represent the context of this sentence.\n\nDid I successfully help you? If yes, kindly let me know. If not, please provide the information you need, and I'll do my best to assist you."", ""Yes, the summary contains the context of the sentence about the metal protectors on the soldier's boots potentially causing his slip on the manhole cover.""]","[4, 1, 4]",3.0,4.833333333325
"[""england ace joe hart labelled fellow goalkeeper gianluigi buffon a ` legend of the game ' after seeing the italian veteran claim his 147th cap . hart , who passed an impressive milestone of his own by representing his country for the 50th time on tuesday night , said after the 1-1 draw with italy that buffon was an inspiration . speaking to fa tv , hart said : ` i 'm still learning my game and i 'm still watching the likes of buffon and the way he goes about his business at 37 years old ."", ""england ace joe hart labelled fellow goalkeeper gianluigi buffon a ` legend of the game ' after seeing the italian veteran claim his 147th cap . hart , who passed an impressive milestone of his own by representing his country for the 50th time on tuesday night , said after the 1-1 draw with italy that buffon was an inspiration . speaking to fa tv , hart said : ` i 'm still learning my game and i 'm still watching the likes of buffon and the way he goes about his business at 37 years old ."", ""england ace joe hart labelled fellow goalkeeper gianluigi buffon a ` legend of the game ' after seeing the italian veteran claim his 147th cap . hart , who passed an impressive milestone of his own by representing his country for the 50th time on tuesday night , said after the 1-1 draw with italy that buffon was an inspiration . speaking to fa tv , hart said : ` i 'm still learning my game and i 'm still watching the likes of buffon and the way he goes about his business at 37 years old .""]","[""1. England's Joe Hart praises Italy's Buffon as a 'legend of the game,' stating his admiration for Buffon's career and personal achievement."", ""2. Hart, at 50 caps, acknowledges Buffon's 147 caps as an inspiration, focusing on his own desire to continue learning from his peers."", '3. Hart, who reached his 50th cap at Juventus Stadium, expresses pride and determination to continue his international career.']","[""England's Joe Hart acknowledges and admires Italy's Gianluigi Buffon's status as a 'legend of the game,' taking inspiration from Buffon's age and continued success in his career."", ""Hart acknowledges Buffon as a 'legend of the game' and inspiration, with an unprecedented 147 caps. Hart understands the value of continuous learning by adapting to the examples set by players like Buffon, who at 37 years old has an impressive record."", 'Hart, who earned his 50th cap at Juventus Stadium, is proud of his achievement and committed to continuing his international career, looking up to veteran goalkeeper Buffon as an inspiration.']","['Yes, the summary does contain the context of that sentence.', 'Yes, the summary contains the context of this sentence.', 'Yes, the summary contains the context of the mentioned sentence.']","[4, 4, 4]",4.0,4.66666666665
"[""lonely man has taken his search for love - or lust - online , posting an advertisement complete with his desires , or ` requirements ' . the outback casanova , who lives in humpty doo , northern territory , detailed his dream girl on gumtree ."", ""lonely man has taken his search for love - or lust - online , posting an advertisement complete with his desires , or ` requirements ' . the outback casanova , who lives in humpty doo , northern territory , detailed his dream girl on gumtree ."", ""lonely man has taken his search for love - or lust - online , posting an advertisement complete with his desires , or ` requirements ' . the outback casanova , who lives in humpty doo , northern territory , detailed his dream girl on gumtree .""]","['1. Lonely man Rich seeks girlfriend/wife, preferring non-drinker and smoker, to enjoy outdoors and be a princess.', '2. Rich, 31, is athletic, heavily tattooed, successful, owns property, and loves outdoors activities.', ""3. Rich's advertisement outlines his requirements and personal details, promising benefits and considering all reasonable offers.""]","['Rich, a lonely man from the Northern Territory, is searching for a girlfriend or wife. He prefers a non-drinker and smoker who loves the outdoors and can be his ""princess.""', 'Core aspect is a man who is young, rich, athletic, heavily tattooed, successful, owns property, and loves outdoor activities. He is also looking for love or lust online.', 'Rich, living in Humpty Doo, Northern Territory, has posted an online advertisement on Gumtree describing his personal preferences and desires for a partner. In doing so, he is open to various possibilities and promises potential benefits to those who meet his requirements.']","['Yes, the summary contains the context of this sentence.', 'In summary, the context is about a lonely outback Casanova who searches for love or lust online, posting an advertisement on Gumtree, describing his ideal girl. In the aspect provided, the focus is on the young, rich, athletic, heavily tattooed, successful, property-owning man who loves outdoor activities and is looking for love or lust online.', 'Yes, the summary accurately conveys the main idea.']","[4, 4, 4]",4.0,4.75
"[""maurice van ryn has pleaded guilty to 12 sex offences , including the most serious charge of persistent sexual abuse of a child . the wealthy nsw businessman has pleaded guilty to 12 sex offences , including the most serious charge of persistent sexual abuse of a child . the young woman , who can not be named , said when he abused her as a child she did n't know it was wrong ."", ""maurice van ryn has pleaded guilty to 12 sex offences , including the most serious charge of persistent sexual abuse of a child . the wealthy nsw businessman has pleaded guilty to 12 sex offences , including the most serious charge of persistent sexual abuse of a child . the young woman , who can not be named , said when he abused her as a child she did n't know it was wrong ."", ""maurice van ryn has pleaded guilty to 12 sex offences , including the most serious charge of persistent sexual abuse of a child . the wealthy nsw businessman has pleaded guilty to 12 sex offences , including the most serious charge of persistent sexual abuse of a child . the young woman , who can not be named , said when he abused her as a child she did n't know it was wrong .""]","['1. A young woman subjected to years of abuse by Bega Cheese boss Maurice Van Ryn reveals the impact his actions have had on her life.', '2. Van Ryn admits to 12 sex offences, including the most serious charge of persistent sexual abuse of a child.', ""3. The young woman fears for her future relationships and worries about Van Ryn's potential release from custody.""]","['The aspects highlights the emotional and psychological impact on a young woman who experienced years of sexual abuse by Maurice Van Ryn at the hands of a powerful individual within the Bega Cheese company. This serves as a reminder of the long-lasting effects of such abuses and the importance of addressing issues of power dynamics in situations like these.', ""In the given aspect, Maurice van Ryn admitted to committing 12 sex offenses, with the most severe being persistent sexual abuse of a child. The young female victim mentioned didn't realize it was wrong during the abuse."", ""The young woman faces potential distress regarding future relationships, fearing she may be wronged again, and concerns about the possibility of Van Ryn's release from custody.""]","['Yes', 'Yes, the summary contains the context of this sentence.', 'Yes, the summary contains the context of that sentence.']","[4, 4, 4]",4.0,3.91666666665
"['the fast-casual chain will work with the postmates app to begin offering delivery for online and mobile orders in 67 cities . but mexican food fans should know that the restaurant plans to add a nine per cent service charge . chipotle is thought to have turned down previous offers of collaboration with third-party delivery services - but has now given postmates the green light , new york daily news reports .', 'the fast-casual chain will work with the postmates app to begin offering delivery for online and mobile orders in 67 cities . but mexican food fans should know that the restaurant plans to add a nine per cent service charge . chipotle is thought to have turned down previous offers of collaboration with third-party delivery services - but has now given postmates the green light , new york daily news reports .', 'the fast-casual chain will work with the postmates app to begin offering delivery for online and mobile orders in 67 cities . but mexican food fans should know that the restaurant plans to add a nine per cent service charge . chipotle is thought to have turned down previous offers of collaboration with third-party delivery services - but has now given postmates the green light , new york daily news reports .']","['1. Chipotle restaurants to offer delivery in 67 cities via Postmates app, charging a 9% service fee and starting at $5 delivery fees.', '2. Chipotle expands its business by tapping into the $70 billion food delivery market, previously rejected other offers for collaboration with third-party services.', ""3. Chipotle is not the only franchise entering the delivery market, with Starbucks, Taco Bell, McDonald's, and Burger King also participating.""]","['Chipotle has partnered with Postmates for online and mobile delivery in 67 cities, adding a 9% service charge, starting with delivery fees of $5.', ""Chipotle, a fast-casual chain, partnered with Postmates app for deliveries in 67 cities. They will add a 9% service charge for Mexican food. They accepted Postmates' offer after previously rejecting collaborations with third-party services."", ""Chipotle is joining other major franchises like Starbucks, Taco Bell, McDonald's, and Burger King in offering delivery services, indicating a growing trend among food chains to cater to customers seeking off-premises dining options.""]","['Yes', 'Yes, the summary contains the context of the sentence.', 'Yes, the summary contains the context of this sentence. It mentions that Chipotle is joining other major franchises in offering delivery services, hinting at a broader trend among food chains to cater to consumers seeking off-premises dining options.']","[4, 4, 4]",4.0,4.416666666675
"[""manchester city want to sign anderlecht teenager evangelos patoulidis . the belgian starlet rejected a move to barcelona 's la masia academy . he was 12 as his family wanted him to continue his studies ."", ""manchester city want to sign anderlecht teenager evangelos patoulidis . the belgian starlet rejected a move to barcelona 's la masia academy . he was 12 as his family wanted him to continue his studies ."", ""manchester city want to sign anderlecht teenager evangelos patoulidis . the belgian starlet rejected a move to barcelona 's la masia academy . he was 12 as his family wanted him to continue his studies .""]","['1. Manchester City aims to sign 14-year-old Anderlecht player Evangelos Patoulidis. ', ""2. Patoulidis is regarded as one of Anderlecht's top youth talents."", '3. City has discussed compensation with Anderlecht chairman Roger Vanden Stock.']","[""Manchester City wants to acquire 14-year-old footballer Evangelos Patoulidis from Anderlecht, who previously rejected a move to Barcelona's La Masia academy due to his family's preference for continued education."", 'Evangelos Patoulidis is highly favored and regarded as one of the top young talents in Anderlecht, showing excellent potential in player development and skills on the field.', ""Manchester City is discussing compensation with Anderlecht chairman Roger Vanden Stock, likely related to signing teenager Evangelos Patoulidis, who rejected Barcelona's La Masia academy due to his family's preference for continuing studies.""]","['Yes', 'No, the summary does not include the context of the sentence.', 'Yes']","[4, 1, 4]",3.0,4.5
"['christopher lawler said he was pinned to a chair and groped by a male member of staff on his first day working at clarence house . the ordeal left him in tears and he left the job the same day . he decided to contact palace officials again last year after inquiries began into alleged cover-ups of child sex abuse by a vip paedophile ring in the 1970s and 80s . but his complaints were ignored for months before the police were finally notified, he claims .', 'christopher lawler said he was pinned to a chair and groped by a male member of staff on his first day working at clarence house . the ordeal left him in tears and he left the job the same day . he decided to contact palace officials again last year after inquiries began into alleged cover-ups of child sex abuse by a vip paedophile ring in the 1970s and 80s . but his complaints were ignored for months before the police were finally notified, he claims .', 'christopher lawler said he was pinned to a chair and groped by a male member of staff on his first day working at clarence house . the ordeal left him in tears and he left the job the same day . he decided to contact palace officials again last year after inquiries began into alleged cover-ups of child sex abuse by a vip paedophile ring in the 1970s and 80s . but his complaints were ignored for months before the police were finally notified, he claims .']","['1. Former royal footman claims palace aides tried to force him into an orgy on first day of work at Clarence House.', '2. Christopher Lawler said he was pinned to a chair and groped by a male staff member on his first day in 1978, leaving him in tears.', '3. Police are investigating the claims, which were initially ignored before being passed to Scotland Yard.']","['A former royal footman claims that while working at Clarence House, he was pushed into an orgy by palace aides on his first day on the job, who also allegedly groped him. The allegations were ignored for months until he contacted palace officials last year following inquiries into a possible VIP paedophile ring.', 'Christopher Lawler experienced a disturbing incident on his first day in 1978 at Clarence House when he was pinned to a chair and groped by a male staff member, leading him to tears.', 'The police are investigating the claims of alleged sexual assault made by Christopher Lawler, who claimed to have been ignored by palace officials for months before being passed on to Scotland Yard.']","['Yes', 'Yes', 'Yes, the summary contains the context of this sentence.']","[4, 4, 4]",4.0,4.833333333325
"['Heritage Auctions offered the gray jacket and skirt , featuring a black zigzag applique , plus more than 150 other items from the Academy Award-winning film at auction on Saturday . The dress - a jacket and full skirt ensemble - was worn in several key scenes in the 1939 movie but has suffered a little with age and has faded to light gray .', 'Heritage Auctions offered the gray jacket and skirt , featuring a black zigzag applique , plus more than 150 other items from the Academy Award-winning film at auction on Saturday . The dress - a jacket and full skirt ensemble - was worn in several key scenes in the 1939 movie but has suffered a little with age and has faded to light gray .', 'Heritage Auctions offered the gray jacket and skirt , featuring a black zigzag applique , plus more than 150 other items from the Academy Award-winning film at auction on Saturday . The dress - a jacket and full skirt ensemble - was worn in several key scenes in the 1939 movie but has suffered a little with age and has faded to light gray .']","[""1. Vivien Leigh's Scarlett O'Hara dress from Gone With the Wind, featuring a black zigzag applique, fetched $137,000 at auction, worn in key scenes."", ""2. James Tumblin's 300,000-piece Hollywood memorabilia collection highlights the dress's history."", ""3. Other notable items include a straw hat sold for $52,500, Clark Gable's Rhett Butler suit for $55,000, and a black bonnet worn by Vivien Leigh and Olivia De Havilland, selling for $30,000.""]","[""Vivien Leigh's Scarlett O'Hara dress from the movie Gone With the Wind, featuring a black zigzag applique, sold at auction for $137,000, making it a notable item in the collection highlighted in the mentioned auction."", ""James Tumblin's extensive Hollywood memorabilia collection features the dress, showcasing its historical significance, worn in the iconic 1939 movie which earned an Academy Award."", ""The aspect mentions significant other items sold at the auction, including a straw hat sold for $52,500, Clark Gable's Rhett Butler suit for $55,000, and a black bonnet worn by Vivien Leigh and Olivia De Havilland, selling for $30,000.""]","['Yes, the summary contains the core idea of the sentence.', ""Yes, the context of this sentence can be found in the summary where it is mentioned that the dress was part of Heritage Auctions' auction and has been featured in James Tumblin's Hollywood memorabilia collection with a description focusing on its historical importance from the 1939 movie."", 'The summary provides information about the sale of the jacket and skirt, but the aspect contains the context of the significant other items sold at the auction.']","[4, 4, 2]",3.3333333333333335,4.0
